Time,Susceptible,Exposed,Infectious,Recovered
4.8100,0.8160,0.0937,0.0389,0.0515
4.8200,0.8158,0.0938,0.0389,0.0516
4.8300,0.8156,0.0939,0.0389,0.0517
4.8400,0.8153,0.0940,0.0389,0.0518
4.8500,0.8151,0.0941,0.0389,0.0519
4.8600,0.8149,0.0942,0.0389,0.0520
4.8700,0.8146,0.0944,0.0389,0.0521
4.8800,0.8144,0.0945,0.0390,0.0522
4.8900,0.8141,0.0946,0.0390,0.0523
4.9000,0.8139,0.0947,0.0390,0.0524
4.9100,0.8137,0.0948,0.0390,0.0525
4.9200,0.8134,0.0950,0.0390,0.0526
4.9300,0.8132,0.0951,0.0390,0.0527
4.9400,0.8130,0.0952,0.0391,0.0528
4.9500,0.8127,0.0953,0.0391,0.0529
4.9600,0.8125,0.0954,0.0391,0.0530
4.9700,0.8122,0.0955,0.0391,0.0531
4.9800,0.8120,0.0957,0.0391,0.0532
4.9900,0.8118,0.0958,0.0392,0.0533
5.0000,0.8115,0.0959,0.0392,0.0534
5.0100,0.8113,0.0960,0.0392,0.0535
5.0200,0.8111,0.0961,0.0392,0.0536
5.0300,0.8108,0.0963,0.0392,0.0537
5.0400,0.8106,0.0964,0.0392,0.0538
5.0500,0.8103,0.0965,0.0393,0.0539
5.0600,0.8101,0.0966,0.0393,0.0540
5.0700,0.8099,0.0967,0.0393,0.0541
5.0800,0.8096,0.0968,0.0393,0.0542
5.0900,0.8094,0.0970,0.0393,0.0543
5.1000,0.8092,0.0971,0.0393,0.0544
5.1100,0.8089,0.0972,0.0394,0.0545
5.1200,0.8087,0.0973,0.0394,0.0546
5.1300,0.8084,0.0974,0.0394,0.0547
5.1400,0.8082,0.0975,0.0394,0.0548
5.1500,0.8080,0.0977,0.0394,0.0549
5.1600,0.8077,0.0978,0.0395,0.0550
5.1700,0.8075,0.0979,0.0395,0.0552
5.1800,0.8072,0.0980,0.0395,0.0553
5.1900,0.8070,0.0981,0.0395,0.0554
5.2000,0.8068,0.0982,0.0395,0.0555
5.2100,0.8065,0.0983,0.0396,0.0556
5.2200,0.8063,0.0985,0.0396,0.0557
5.2300,0.8061,0.0986,0.0396,0.0558
5.2400,0.8058,0.0987,0.0396,0.0559
5.2500,0.8056,0.0988,0.0396,0.0560
5.2600,0.8053,0.0989,0.0397,0.0561
5.2700,0.8051,0.0990,0.0397,0.0562
5.2800,0.8049,0.0992,0.0397,0.0563
5.2900,0.8046,0.0993,0.0397,0.0564
5.3000,0.8044,0.0994,0.0397,0.0565
5.3100,0.8041,0.0995,0.0398,0.0566
5.3200,0.8039,0.0996,0.0398,0.0567
5.3300,0.8037,0.0997,0.0398,0.0568
5.3400,0.8034,0.0998,0.0398,0.0569
5.3500,0.8032,0.1000,0.0398,0.0570
5.3600,0.8030,0.1001,0.0399,0.0571
5.3700,0.8027,0.1002,0.0399,0.0572
5.3800,0.8025,0.1003,0.0399,0.0573
5.3900,0.8022,0.1004,0.0399,0.0574
5.4000,0.8020,0.1005,0.0399,0.0575
5.4100,0.8018,0.1006,0.0400,0.0576
5.4200,0.8015,0.1008,0.0400,0.0577
5.4300,0.8013,0.1009,0.0400,0.0578
5.4400,0.8010,0.1010,0.0400,0.0579
5.4500,0.8008,0.1011,0.0400,0.0581
5.4600,0.8006,0.1012,0.0401,0.0582
5.4700,0.8003,0.1013,0.0401,0.0583
5.4800,0.8001,0.1014,0.0401,0.0584
5.4900,0.7998,0.1016,0.0401,0.0585
5.5000,0.7996,0.1017,0.0401,0.0586
5.5100,0.7994,0.1018,0.0402,0.0587
5.5200,0.7991,0.1019,0.0402,0.0588
5.5300,0.7989,0.1020,0.0402,0.0589
5.5400,0.7987,0.1021,0.0402,0.0590
