Time,Susceptible,Infectious
60.2,0.661667,0.0889852
60.3,0.661087,0.0892348
60.4,0.660506,0.0894848
60.5,0.659925,0.0897353
60.6,0.659344,0.0899862
60.7,0.658763,0.0902376
60.8,0.658182,0.0904894
60.9,0.657601,0.0907416
61,0.657019,0.0909943
61.1,0.656438,0.0912474
61.2,0.655856,0.091501
61.3,0.655274,0.091755
61.4,0.654692,0.0920094
61.5,0.65411,0.0922643
61.6,0.653527,0.0925196
61.7,0.652945,0.0927753
61.8,0.652362,0.0930315
61.9,0.651779,0.0932881
62,0.651197,0.0935452
62.1,0.650613,0.0938027
62.2,0.65003,0.0940606
62.3,0.649447,0.094319
62.4,0.648863,0.0945778
62.5,0.64828,0.094837
62.6,0.647696,0.0950967
62.7,0.647112,0.0953568
62.8,0.646528,0.0956173
62.9,0.645944,0.0958783
63,0.645359,0.0961397
63.1,0.644775,0.0964015
63.2,0.64419,0.0966638
63.3,0.643605,0.0969265
63.4,0.64302,0.0971896
63.5,0.642435,0.0974532
63.6,0.64185,0.0977172
63.7,0.641265,0.0979816
63.8,0.640679,0.0982464
63.9,0.640094,0.0985117
64,0.639508,0.0987774
64.1,0.638922,0.0990435
64.2,0.638336,0.0993101
64.3,0.63775,0.0995771
64.4,0.637163,0.0998445
64.5,0.636577,0.100112
64.6,0.635991,0.100381
64.7,0.635404,0.100649
64.8,0.634817,0.100918
64.9,0.63423,0.101188
65,0.633643,0.101458
65.1,0.633056,0.101728
65.2,0.632468,0.101999
65.3,0.631881,0.10227
65.4,0.631293,0.102542
65.5,0.630706,0.102814
65.6,0.630118,0.103086
65.7,0.62953,0.103359
65.8,0.628942,0.103633
65.9,0.628354,0.103906
66,0.627765,0.104181
66.1,0.627177,0.104455
66.2,0.626588,0.10473
66.3,0.626,0.105006
66.4,0.625411,0.105281
66.5,0.624822,0.105558
66.6,0.624233,0.105834
66.7,0.623644,0.106111
66.8,0.623054,0.106389
66.9,0.622465,0.106667
67,0.621875,0.106945
67.1,0.621286,0.107224
67.2,0.620696,0.107503
67.3,0.620106,0.107782
67.4,0.619516,0.108062
67.5,0.618926,0.108343
67.6,0.618336,0.108624
67.7,0.617745,0.108905
67.8,0.617155,0.109186
67.9,0.616564,0.109468
68,0.615974,0.109751
68.1,0.615383,0.110033
68.2,0.614792,0.110317
68.3,0.614201,0.1106
68.4,0.61361,0.110884
68.5,0.613019,0.111169
68.6,0.612427,0.111453
68.7,0.611836,0.111739
68.8,0.611244,0.112024
68.9,0.610653,0.11231
69,0.610061,0.112597
69.1,0.609469,0.112883
69.2,0.608877,0.113171
69.3,0.608285,0.113458
69.4,0.607693,0.113746
69.5,0.607101,0.114035
69.6,0.606509,0.114323
69.7,0.605916,0.114613
69.8,0.605324,0.114902
69.9,0.604731,0.115192
70,0.604138,0.115482
70.1,0.603545,0.115773
70.2,0.602953,0.116064
70.3,0.60236,0.116356
70.4,0.601766,0.116648
70.5,0.601173,0.11694
70.6,0.60058,0.117233
70.7,0.599987,0.117526
70.8,0.599393,0.117819
70.9,0.5988,0.118113
71,0.598206,0.118407
71.1,0.597612,0.118702
71.2,0.597019,0.118997
71.3,0.596425,0.119292
71.4,0.595831,0.119588
71.5,0.595237,0.119884
71.6,0.594643,0.12018
71.7,0.594049,0.120477
71.8,0.593454,0.120775
71.9,0.59286,0.121072
72,0.592266,0.12137
72.1,0.591671,0.121668
72.2,0.591076,0.121967
72.3,0.590482,0.122266
72.4,0.589887,0.122566
72.5,0.589292,0.122866
72.6,0.588697,0.123166
72.7,0.588103,0.123466
72.8,0.587508,0.123767
72.9,0.586912,0.124069
73,0.586317,0.12437
73.1,0.585722,0.124672
73.2,0.585127,0.124975
73.3,0.584532,0.125278
73.4,0.583936,0.125581
73.5,0.583341,0.125884
73.6,0.582745,0.126188
73.7,0.58215,0.126492
73.8,0.581554,0.126797
73.9,0.580958,0.127102
74,0.580363,0.127407
