Time,Susceptible,Infectious,Recovered
169.7500,0.1058,0.0000,0.8941
169.7600,0.1058,0.0000,0.8941
169.7700,0.1058,0.0000,0.8941
169.7800,0.1058,0.0000,0.8941
169.7900,0.1058,0.0000,0.8941
169.8000,0.1058,0.0000,0.8941
169.8100,0.1058,0.0000,0.8941
169.8200,0.1058,0.0000,0.8941
169.8300,0.1058,0.0000,0.8941
169.8400,0.1058,0.0000,0.8941
169.8500,0.1058,0.0000,0.8941
169.8600,0.1058,0.0000,0.8941
169.8700,0.1058,0.0000,0.8941
169.8800,0.1058,0.0000,0.8941
169.8900,0.1058,0.0000,0.8941
169.9000,0.1058,0.0000,0.8941
169.9100,0.1058,0.0000,0.8941
169.9200,0.1058,0.0000,0.8941
169.9300,0.1058,0.0000,0.8941
169.9400,0.1058,0.0000,0.8941
169.9500,0.1058,0.0000,0.8941
169.9600,0.1058,0.0000,0.8941
169.9700,0.1058,0.0000,0.8941
169.9800,0.1058,0.0000,0.8941
169.9900,0.1058,0.0000,0.8941
170.0000,0.1058,0.0000,0.8941
170.0100,0.1058,0.0000,0.8941
170.0200,0.1058,0.0000,0.8941
170.0300,0.1058,0.0000,0.8941
170.0400,0.1058,0.0000,0.8941
170.0500,0.1058,0.0000,0.8941
170.0600,0.1058,0.0000,0.8941
170.0700,0.1058,0.0000,0.8941
170.0800,0.1058,0.0000,0.8941
170.0900,0.1058,0.0000,0.8941
170.1000,0.1058,0.0000,0.8941
170.1100,0.1058,0.0000,0.8941
170.1200,0.1058,0.0000,0.8941
170.1300,0.1058,0.0000,0.8941
170.1400,0.1058,0.0000,0.8941
170.1500,0.1058,0.0000,0.8941
170.1600,0.1058,0.0000,0.8941
170.1700,0.1058,0.0000,0.8941
170.1800,0.1058,0.0000,0.8941
170.1900,0.1058,0.0000,0.8941
170.2000,0.1058,0.0000,0.8941
170.2100,0.1058,0.0000,0.8941
170.2200,0.1058,0.0000,0.8941
170.2300,0.1058,0.0000,0.8941
170.2400,0.1058,0.0000,0.8941
170.2500,0.1058,0.0000,0.8941
170.2600,0.1058,0.0000,0.8941
170.2700,0.1058,0.0000,0.8941
170.2800,0.1058,0.0000,0.8941
170.2900,0.1058,0.0000,0.8941
170.3000,0.1058,0.0000,0.8941
170.3100,0.1058,0.0000,0.8941
170.3200,0.1058,0.0000,0.8941
170.3300,0.1058,0.0000,0.8941
170.3400,0.1058,0.0000,0.8941
170.3500,0.1058,0.0000,0.8941
170.3600,0.1058,0.0000,0.8941
170.3700,0.1058,0.0000,0.8941
170.3800,0.1058,0.0000,0.8941
170.3900,0.1058,0.0000,0.8941
170.4000,0.1058,0.0000,0.8941
170.4100,0.1058,0.0000,0.8941
170.4200,0.1058,0.0000,0.8941
170.4300,0.1058,0.0000,0.8941
170.4400,0.1058,0.0000,0.8941
170.4500,0.1058,0.0000,0.8941
170.4600,0.1058,0.0000,0.8941
170.4700,0.1058,0.0000,0.8941
170.4800,0.1058,0.0000,0.8941
170.4900,0.1058,0.0000,0.8941
170.5000,0.1058,0.0000,0.8941
170.5100,0.1058,0.0000,0.8941
170.5200,0.1058,0.0000,0.8941
170.5300,0.1058,0.0000,0.8941
170.5400,0.1058,0.0000,0.8941
170.5500,0.1058,0.0000,0.8941
170.5600,0.1058,0.0000,0.8941
170.5700,0.1058,0.0000,0.8941
170.5800,0.1058,0.0000,0.8941
170.5900,0.1058,0.0000,0.8941
170.6000,0.1058,0.0000,0.8941
170.6100,0.1058,0.0000,0.8941
170.6200,0.1058,0.0000,0.8941
170.6300,0.1058,0.0000,0.8941
170.6400,0.1058,0.0000,0.8941
170.6500,0.1058,0.0000,0.8941
170.6600,0.1058,0.0000,0.8941
170.6700,0.1058,0.0000,0.8941
170.6800,0.1058,0.0000,0.8941
170.6900,0.1058,0.0000,0.8941
170.7000,0.1058,0.0000,0.8941
170.7100,0.1058,0.0000,0.8941
170.7200,0.1058,0.0000,0.8941
170.7300,0.1058,0.0000,0.8941
170.7400,0.1058,0.0000,0.8941
170.7500,0.1058,0.0000,0.8941
170.7600,0.1058,0.0000,0.8941
170.7700,0.1058,0.0000,0.8941
170.7800,0.1058,0.0000,0.8941
170.7900,0.1058,0.0000,0.8941
170.8000,0.1058,0.0000,0.8941
170.8100,0.1058,0.0000,0.8941
170.8200,0.1058,0.0000,0.8941
170.8300,0.1058,0.0000,0.8941
170.8400,0.1058,0.0000,0.8941
170.8500,0.1058,0.0000,0.8941
170.8600,0.1058,0.0000,0.8941
170.8700,0.1058,0.0000,0.8941
170.8800,0.1058,0.0000,0.8941
170.8900,0.1058,0.0000,0.8941
170.9000,0.1058,0.0000,0.8941
170.9100,0.1058,0.0000,0.8941
170.9200,0.1058,0.0000,0.8941
170.9300,0.1058,0.0000,0.8941
170.9400,0.1058,0.0000,0.8941
170.9500,0.1058,0.0000,0.8941
170.9600,0.1058,0.0000,0.8941
170.9700,0.1058,0.0000,0.8941
170.9800,0.1058,0.0000,0.8941
170.9900,0.1058,0.0000,0.8941
171.0000,0.1058,0.0000,0.8941
171.0100,0.1058,0.0000,0.8941
171.0200,0.1058,0.0000,0.8941
171.0300,0.1058,0.0000,0.8941
171.0400,0.1058,0.0000,0.8941
171.0500,0.1058,0.0000,0.8941
171.0600,0.1058,0.0000,0.8941
